record_key,country_id,country_name,mid_year,population
11990,1,China,1990,1172445
11991,1,China,1991,1189184
11992,1,China,1992,1204004
11993,1,China,1993,1217129
11994,1,China,1994,1228992
11995,1,China,1995,1239940
11996,1,China,1996,1249981
11997,1,China,1997,1259067
11998,1,China,1998,1267442
11999,1,China,1999,1275407
12000,1,China,2000,1283199
12001,1,China,2001,1290938
12002,1,China,2002,1298647
12003,1,China,2003,1306344
12004,1,China,2004,1314007
12005,1,China,2005,1321623
12006,1,China,2006,1329209
12007,1,China,2007,1336801
12008,1,China,2008,1344415
12009,1,China,2009,1352068
12010,1,China,2010,1359755
12011,1,China,2011,1367480
12012,1,China,2012,1375199
12013,1,China,2013,1382793
12014,1,China,2014,1390110
12015,1,China,2015,1397029
12016,1,China,2016,1403500
12017,1,China,2017,1409517
12018,1,China,2018,1415046
12019,1,China,2019,1420062
12020,1,China,2020,1424548
12021,1,China,2021,1428481
21990,2,India,1990,870133
21991,2,India,1991,888055
21992,2,India,1992,906021
21993,2,India,1993,924058
21994,2,India,1994,942204
21995,2,India,1995,960483
21996,2,India,1996,978893
21997,2,India,1997,997405
21998,2,India,1998,1015974
21999,2,India,1999,1034539
22000,2,India,2000,1053051
22001,2,India,2001,1071478
22002,2,India,2002,1089807
22003,2,India,2003,1108028
22004,2,India,2004,1126136
22005,2,India,2005,1144119
22006,2,India,2006,1161978
22007,2,India,2007,1179681
22008,2,India,2008,1197147
22009,2,India,2009,1214270
22010,2,India,2010,1230981
22011,2,India,2011,1247236
22012,2,India,2012,1263066
22013,2,India,2013,1278562
22014,2,India,2014,1293859
22015,2,India,2015,1309054
22016,2,India,2016,1324171
22017,2,India,2017,1339180
22018,2,India,2018,1354052
22019,2,India,2019,1368738
22020,2,India,2020,1383198
22021,2,India,2021,1397423
31990,3,Indonesia,1990,181437
31991,3,Indonesia,1991,184616
31992,3,Indonesia,1992,187766
31993,3,Indonesia,1993,190880
31994,3,Indonesia,1994,193945
31995,3,Indonesia,1995,196958
31996,3,Indonesia,1996,199915
31997,3,Indonesia,1997,202826
31998,3,Indonesia,1998,205716
31999,3,Indonesia,1999,208613
32000,3,Indonesia,2000,211540
32001,3,Indonesia,2001,214507
32002,3,Indonesia,2002,217508
32003,3,Indonesia,2003,220545
32004,3,Indonesia,2004,223615
32005,3,Indonesia,2005,226713
32006,3,Indonesia,2006,229838
32007,3,Indonesia,2007,232989
32008,3,Indonesia,2008,236159
32009,3,Indonesia,2009,239340
32010,3,Indonesia,2010,242524
32011,3,Indonesia,2011,245708
32012,3,Indonesia,2012,248883
32013,3,Indonesia,2013,252032
32014,3,Indonesia,2014,255131
32015,3,Indonesia,2015,258162
32016,3,Indonesia,2016,261115
32017,3,Indonesia,2017,263991
32018,3,Indonesia,2018,266795
32019,3,Indonesia,2019,269536
32020,3,Indonesia,2020,272223
32021,3,Indonesia,2021,274854
41990,4,United States of America,1990,252530
41991,4,United States of America,1991,254975
41992,4,United States of America,1992,257454
41993,4,United States of America,1993,260020
41994,4,United States of America,1994,262742
41995,4,United States of America,1995,265659
41996,4,United States of America,1996,268803
41997,4,United States of America,1997,272137
41998,4,United States of America,1998,275543
41999,4,United States of America,1999,278862
42000,4,United States of America,2000,281983
42001,4,United States of America,2001,284852
42002,4,United States of America,2002,287507
42003,4,United States of America,2003,290028
42004,4,United States of America,2004,292539
42005,4,United States of America,2005,295130
42006,4,United States of America,2006,297827
42007,4,United States of America,2007,300595
42008,4,United States of America,2008,303374
42009,4,United States of America,2009,306076
42010,4,United States of America,2010,308641
42011,4,United States of America,2011,311051
42012,4,United States of America,2012,313335
42013,4,United States of America,2013,315537
42014,4,United States of America,2014,317719
42015,4,United States of America,2015,319929
42016,4,United States of America,2016,322180
42017,4,United States of America,2017,324459
42018,4,United States of America,2018,326767
42019,4,United States of America,2019,329093
42020,4,United States of America,2020,331432
42021,4,United States of America,2021,333783
